src,dst,v1,v2,v3
0,1,28.0,0.0,0.0
0,2,56.0,0.0,0.0
0,3,100.0,0.0,0.0
0,4,65.0,0.0,0.0
0,5,50.0,0.0,0.0
0,6,55.0,0.0,0.0
0,7,60.0,0.0,0.0
0,8,56.0,0.0,0.0
0,9,42.0,0.0,0.0
1,1034,1024.0,0.0,0.0
2,10,2.0,0.0,0.0
2,18,54.0,0.0,0.0
3,11,10.0,0.0,0.0
3,19,90.0,0.0,0.0
4,12,2.0,0.0,0.0
4,20,63.0,0.0,0.0
5,21,50.0,0.0,0.0
6,14,1.0,0.0,0.0
6,22,54.0,0.0,0.0
7,15,3.0,0.0,0.0
7,23,57.0,0.0,0.0
8,16,1.0,0.0,0.0
8,24,55.0,0.0,0.0
9,17,2.0,0.0,0.0
9,25,40.0,0.0,0.0
10,1,1024.0,0.0,0.0
10,18,1024.0,0.0,0.0
11,1,1024.0,0.0,0.0
11,19,1024.0,0.0,0.0
12,1,1024.0,0.0,0.0
12,20,1024.0,0.0,0.0
13,1,1024.0,0.0,0.0
13,21,1024.0,0.0,0.0
14,1,1024.0,0.0,0.0
14,22,1024.0,0.0,0.0
15,1,1024.0,0.0,0.0
15,23,1024.0,0.0,0.0
16,1,1024.0,0.0,0.0
16,24,1024.0,0.0,0.0
17,1,1024.0,0.0,0.0
17,25,1024.0,0.0,0.0
18,149,1.0,4.0,1.0
18,542,4.0,2.0,1.0
18,881,3.0,4.0,1.0
18,971,8.0,61.0,1.0
19,58,5.0,36.0,1.0
19,268,4.0,30.0,1.0
19,925,1.0,18.0,1.0
19,972,2.0,18.0,1.0
19,1005,8.0,408.0,1.0
20,361,5.0,2.0,1.0
20,659,1.0,1.0,1.0
20,669,10.0,10.0,1.0
20,741,9.0,22.0,1.0
20,769,1.0,1.0,1.0
20,959,3.0,1.0,1.0
21,204,4.0,0.0,1.0
21,442,10.0,96.0,1.0
21,443,5.0,10.0,1.0
21,516,5.0,1.0,1.0
21,726,5.0,3.0,1.0
21,950,6.0,15.0,1.0
22,79,3.0,1.0,1.0
22,252,6.0,41.0,1.0
22,319,5.0,11.0,1.0
22,722,5.0,0.0,1.0
22,799,4.0,3.0,1.0
23,267,3.0,1.0,1.0
23,332,2.0,1.0,1.0
23,544,8.0,16.0,1.0
23,880,5.0,2.0,1.0
23,940,4.0,2.0,1.0
24,482,5.0,155.0,1.0
24,818,3.0,4.0,1.0
24,833,1.0,4.0,1.0
25,453,9.0,77.0,1.0
25,596,5.0,5.0,1.0
25,621,3.0,2.0,1.0
25,828,1.0,7.0,1.0
25,914,3.0,1.0,1.0
26,125,4.0,24.0,1.0
26,244,5.0,30.0,1.0
